codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
841310,Operador de Equipamentos de Refinacao de Acucar (Processo Continuo),1381.8875,XGBoost,0.9999702838491983,1380.60888671875,1380.60888671875,1380.60888671875,1380.60888671875,Estável,CRESCIMENTO LEVE
841315,Operador de Moenda na Fabricacao de Acucar,1560.6583333333333,XGBoost,0.9999635926236107,1560.17431640625,1560.17431640625,1560.17431640625,1560.17431640625,Estável,RETRAÇÃO LEVE
841320,Operador de Tratamento de Calda na Refinacao de Acucar,953.0833333333333,XGBoost,0.9999608552034801,953.2954711914062,953.2954711914062,953.2954711914062,953.2954711914062,Estável,CRESCIMENTO LEVE
841408,Cozinhador (Conservacao de Alimentos),1399.1933333333334,XGBoost,0.9999716317642598,1398.836669921875,1398.836669921875,1398.836669921875,1398.836669921875,Estável,RETRAÇÃO LEVE
841416,Cozinhador de Carnes,1403.7698412698412,XGBoost,0.9999676936464679,1402.068359375,1402.068359375,1402.068359375,1402.068359375,Estável,RETRAÇÃO LEVE
841420,Cozinhador de Frutas e Legumes,1356.0,XGBoost,0.9999698016857422,1354.41259765625,1354.41259765625,1354.41259765625,1354.41259765625,Estável,RETRAÇÃO LEVE
841428,Cozinhador de Pescado,1302.0,XGBoost,0.9999759203872438,1301.78857421875,1301.78857421875,1301.78857421875,1301.78857421875,Estável,CRESCIMENTO LEVE
841432,Desidratador de Alimentos,1292.0,Fallback,0.0,1292.0,1292.0,1292.0,1292.0,Estável,CRESCIMENTO LEVE
841440,Esterilizador de Alimentos,1320.0,Fallback,0.0,1320.0,1320.0,1320.0,1320.0,Estável,RETRAÇÃO LEVE
841444,Hidrogenador de Oleos e Gorduras,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841448,Lagareiro,1662.388888888889,XGBoost,0.9999632674179737,1659.4837646484375,1659.4837646484375,1659.4837646484375,1659.4837646484375,Estável,RETRAÇÃO LEVE
841456,Operador de Camaras Frias,1475.6758786848072,XGBoost,0.9999686512359958,1473.3289794921875,1473.3289794921875,1473.3289794921875,1473.3289794921875,Estável,RETRAÇÃO LEVE
841460,Operador de Preparacao de Graos Vegetais (Oleos e Gorduras),1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,RETRAÇÃO LEVE
841464,Prensador de Frutas (Exceto Oleaginosas),1588.7,XGBoost,0.9999600303452748,1588.150146484375,1588.150146484375,1588.150146484375,1588.150146484375,Estável,CRESCIMENTO LEVE
841468,Preparador de Racoes,1446.3454545454545,XGBoost,0.9999653874462133,1444.089599609375,1444.089599609375,1444.089599609375,1444.089599609375,Estável,RETRAÇÃO LEVE
841472,Refinador de Oleo e Gordura,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841476,Trabalhador de Fabricacao de Margarina,1334.7777777777778,XGBoost,0.9999684169899573,1334.03564453125,1334.03564453125,1334.03564453125,1334.03564453125,Estável,RETRAÇÃO LEVE
841484,Trabalhador de Preparacao de Pescados (Limpeza),1531.2911497105047,XGBoost,0.9999652751468142,1529.2098388671875,1529.2098388671875,1529.2098388671875,1529.2098388671875,Estável,CRESCIMENTO LEVE
841505,Trabalhador de Tratamento do Leite e Fabricacao de Laticinios e Afins,1493.7272727272727,XGBoost,0.9999681400056047,1491.0003662109375,1491.0003662109375,1491.0003662109375,1491.0003662109375,Estável,CRESCIMENTO LEVE
841605,Misturador de Cafe,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841610,Torrador de Cafe,1698.0,XGBoost,0.9999600062261874,1698.3583984375,1698.3583984375,1698.3583984375,1698.3583984375,Estável,CRESCIMENTO LEVE
841615,Moedor de Cafe,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841620,Operador de Extracao de Cafe Soluvel,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841625,Torrador de Cacau,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841630,Misturador de Cha ou Mate,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841705,Alambiqueiro,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841710,Filtrador de Cerveja,1601.5,XGBoost,0.9999731044129198,1602.1278076171875,1602.1278076171875,1602.1278076171875,1602.1278076171875,Estável,RETRAÇÃO LEVE
841715,Fermentador,1317.2666666666667,XGBoost,0.9999694607163868,1317.1510009765625,1317.1510009765625,1317.1510009765625,1317.1510009765625,Estável,RETRAÇÃO LEVE
841720,Trabalhador de Fabricacao de Vinhos,1508.4301619433197,XGBoost,0.9999641716002994,1506.153564453125,1506.153564453125,1506.153564453125,1506.153564453125,Estável,CRESCIMENTO LEVE
841725,Malteiro (Germinacao),,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
841730,Cozinhador de Malte,1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,RETRAÇÃO LEVE
